link;description;street;rooms;m2;floor;house_type;price
https://ss.lv/msg/lv/real-estate/flats/riga/darzciems/enxjj.html;Ģimene pārdod skaistu vienistabas 27 kv. m dzīvokli pašā zaļākaj;Dārzciems::Lubānas 41/2;1;27;2/2;Staļina;37,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/egjpg.html;Izīrē privātas, labiekārtotas istabas pašā Rīgas centrā. TV, Wif;centrs::Gogoļa 23;1;18;2/2;Renov.;140  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/eopfg.html;2х комнатная квартира после капитального ремонта, замена всех тр;Pļavnieki::Slāvu 15;2;50;1/9;602.;59,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/ekhpe.html;Gaišs un saulains vienistabas dzīvoklis. Ļoti plaša guļamistaba ;Ziepniekkalns::Ozolciema 52;1;41;7/9;M. ģim.;400  €/mēn.
https://ss.lv/msg/lv/real-estate/flats/riga/imanta/ccmlj.html;Īpašnieks pārdod reta plānojuma(tā saucamā Raspašonka) 2 istabu ;Imanta::Kurzemes pr. 94;2;53;6/9;602.;63,300  €
https://ss.lv/msg/lv/real-estate/flats/riga/agenskalns/gocex.html;Pārdod kapitāli izremontētu divistabu dzīvokli zaļajā Āgenskalna;Āgenskalns::M. Nometņu 72;2;49;5/5;Hrušč.;71,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/imanta/gicph.html;Pārdodas saulains trīsistabu dzīvokli ar skaistu skatu pa logu I;Imanta::Progresa 6;3;60;4/5;LT proj.;55,800  €
https://ss.lv/msg/lv/real-estate/flats/riga/ilguciems/hggxe.html;Продаётся солнечная и уютная двух комнатная квартира в районе  И;Iļģuciems::Lidoņu 28;2;44;3/12;Specpr.;46,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/centre/ahidj.html;Pārdošanā plašs 2istabu dzīvoklis ar gāzes apkuri, pilsētas Cent;centrs::Matīsa 89a;2;41;3/5;P. kara;83,900  €
https://ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/fxiok.html;Продаётся квартира, хорошее место расположения, развита инфрастр;Pļavnieki::Salnas 32;1;35;7/9;602.;36,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/yugla/adkpl.html;"Visas ērtības. 

+ Duša un tualete iekšā. 
+Karstais un aukst";Jugla::Tirzas 3;1;24;1/5;Hrušč.;13,999  €
https://ss.lv/msg/lv/real-estate/flats/riga/bergi/aainf.html;Pārdod 2 istabu dzīvokli ļoti labā vietā – Berģu sākumā. Dzīvokl;Berģi::Berģu 3;2;53;3/3;Specpr.;47,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kengarags/cjcxg.html;Хозяин продает квартиру в зеленом микрорайоне, с развитой инфрас;Ķengarags::Lokomotīves 48;2;49;1/5;LT proj.;48,500  €
https://ss.lv/msg/lv/real-estate/flats/riga/darzciems/ibbeb.html;"Dzīvoklis bez remonta, Zeme īpašumā. 

Квартира без ремонта, З";Dārzciems::Lubānas 41;1;31;2/2;Staļina;26,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/ahdkj.html;Īpašnieks pārdod trīsistabu dzīvokli ar kopējo platību 98 m2 jau;Klīversala::Kuģu 15;3;98;1/6;Jaun.;295,000  €
https://ss.lv/msg/lv/real-estate/flats/riga/kliversala/bdpmcl.html;Īpašnieks pārdod divistabu dzīvokli ar kopējo platību 61 m2 jaun;Klīversala::Kuģu 15;2;63;1/3;Renov.;170,000  €
